id,cluster,speech,word_count,speech_date,year,afinn_sentiment,afinn_sd,bing_sentiment,bing_sd,nrc_sentiment,nrc_sd,sentiword_sentiment,sentiword_sd,hu_sentiment,hu_sd,proper_id,proper_name,house_start_date,date_of_birth,gender,party,age,party_group,ministry,government
2000-04-05a.1078.8,8392396Mr. Maclennan,"I beg to move amendment No. 12, in page 19, line 12, leave out from ""if' to ""disclosure"" in line 13.",17,2000-04-05,2000,-0.7276068751089989,NA,0.7276068751089989,NA,-0.7276068751089989,NA,-0.07579238282385406,NA,0.7276068751089989,NA,578,Robert Maclennan,1966-03-31,1936-06-26,Male,Labour,63,Labour,Blair1,Government
2000-02-15a.849.0,92190Mr. Nigel Evans,"My credentials for a contribution to a debate on the Post Office are good. About four years ago, there was an Adjournment debate on the future of the Post Office. It was one of those debates that take place when the business of the House finishes early: rather than continuing for the usual half an hour, it continued for some time, and I spoke in it.
The major difference between four years ago and now is that those who sit on the Government Benches now were sitting on our Benches then, and accusing us of doing exactly what they are trying to do in regard to part of the Bill today. We were accused of ensuring that people's benefits were paid through their bank accounts, and it was said that that would be the death knell for post offices throughout the country. I remember the debate as clearly as though it was yesterday; it seems that a lot can happen in four years.
I represent a rural constituency, containing 30 or so villages. It is very similar to the constituency of the hon. Member for Ceredigion (Mr. Thomas), whom I congratulate on his maiden speech. He said he felt that he was one of the greenest Members in the House. He is not sitting on his Bench, so I think he has learned a lot in a short space of time. Anyway, I think I, in my rural constituency, face problems similar to those that he faces in his.
The Secretary of State said that he wanted a world-class Post Office. We all want a world-class Post Office, but we will not have one if many of the branches that we enjoy in villages and small towns are closed. The ""world-class"" Post Office will be available to a much smaller group of people.
The Post Office is vital. Like many of my right hon. and hon. Friends, I have visited many post offices, particularly as I knew that the Second Reading debate was coming up. I have spoken to many postmasters and postmistresses. I have also spoken to customers of those post offices.
I run a small retail business in Swansea. I know how tight some of the margins on which we operate are. A number of small businesses have gone under, irrespective of the fact they do not have post offices in the shop; so there is a lot of pressure on small businesses generally anyway, with whole businesses going under.
If we visit post officesâthe small rural businessesâand look at some of the other items that they sell, we realise that the service that they offer is vital; that is particularly true of small rural villages. It struck me that, if those businesses close, or if a major proportion of the local post office disappears, there will be problems. One postmaster told me that, if he lost much of the business from the post office, it would not be worth his while being there.
Many such people open their premises early in the morning and close late at night. The post office is important to them because it acts as a magnet for customers coming in and buying other items. If a big chunk of their business disappears, they will think that it is not worth their while being there in the first place. It will not be profitable for them. It will not be profitable for them to sell the other items because, on their own, they will not make enough money. Those places will close.
One postmaster told me about another aspect: what will happen if the footfall factor decreases. When customers walk into a post office, present their giro or benefit book and receive the cash there and then, they spend some of that money immediately in the post office. They could spend some of it to pay their electricity bill, gas bill or bill for another utility. The post office receives some money as a commission on that service.
Those people may also spend some of their moneyâthey have cash in their hand and happen to be thereâon some of the other items that the post office sells. It could


be greetings cards, detergents, or a number of other items. Some post offices in our constituencies are small businesses. As my hon. Friend the Member for South-West Hertfordshire (Mr. Page) said, they are privately owned businesses. They are there to make a profit. Their customers will buy one or two other items.
If the money is paid direct into people's bank accounts and it is no longer necessary for them to go into the post office once a week, we will findâit is the fear of the postmasterâthat they will pay their electricity bill through the post. They will look for other ways to pay their other utility bills. The footfall in the post office will disappear, in other words.
That will threaten not only the post office. Some villages contain two or three shops: a butcher's that is already under pressure, and perhaps one other small shopâa grocer or newsagent. Because the footfall has disappeared from the post office, it will disappear from other small shops in the village. All of a sudden, not just the post office, but a number of other smaller enterprises and shops in the village are threatened. That is why I ask the Government to think again about these proposals.
We are told by the Secretary of State not to worryâ3,000 post offices will have cash machines. Can the Minister for Competitiveness guarantee that post offices in West Bradford, Chatbum, Chipping, Boltonby-Bowland, Slaidburn and Downhamâall relatively small villagesâwill get cash machines? I doubt it. Only 3,000 post offices out of 18,700 will get the cash machines. It will all be done, I assure the Minister, on a commercial basis.
Since the Government came to power, 486 post offices have already disappeared. With the threat of what is ill thought out legislationâits ramifications have not been properly thought throughâother post offices will close, too.
This does not mean that I do not believe in, as the hon. Member for Strathkelvin and Bearsden (Mr. Galbraith) called it, taking the Post Office into the 21st century and having to commercialise. That is absolutely right. [Interruption.] I hope that we shall consider various ways of ensuring that post offices are able to survive.
What other banking facilities are post offices able to provide? In my short time as the Member for Ribble Valley, Iâlike the hon. Member for Putney (Mr. Colman)âhave seen banks close in my villages. Perhaps the closures are one avenue that post offices might explore in seeking extra business. The national lottery provides another possibility for more business, although smaller rural post offices may not be able commercially to sustain a lottery machine. Neverthelessâmy goodness meâthe lottery is supposed to be about good causes, and the survival of post offices in rural villages is a very good cause. I should hope that we will consider that possibility to support our post offices.
E-commerce and e-mail are another possibility. In some smaller villages, an internet cafe would not be sustainable, and small rural post offices could perhaps provide internet services. I ask Ministers to consider that possibility too.
Ministers should also take on board the fact that the Bill's provisions could threaten the viability of selling post offices. [Interruption.] Many small, privately owned

post offices were bought by people who had other careers, took early retirement and invested in a post office, as a nest egg for when they retire for goodâ[Interruption.] The Government, in their ill thought through legislation, are putting at risk the nest egg of many people who have put money aside, but will not be able to sell their post office.",1289,2000-02-15,2000,0.026760923981129066,0.5353049121759522,0.03941452961184151,0.2876170136295261,0.06442871365033201,0.3297644945660265,0.020762355738507803,0.1669028285627517,0.03690005538346666,0.288788213537348,474,Nigel Evans,1992-04-09,1957-11-10,Male,Conservative,42,Conservative,Blair1,Opposition
2000-01-25a.130.4,220553Rev. Martin Smyth,"I welcome what has been done to help pensioners. However, has the Minister been assured that staff in pensions offices and in post offices are aware of the situation? What steps have been taken to deal with men of over-60, who are on pensions but who are not pensioners in the state sense, so that they can receive their entitlement? How far have we


gone down the road to rectifying that problem and protecting those who were in respite care on about 20 September and who have been disqualified from the winter fuel allowance at a time when they need it?",99,2000-01-25,2000,0.25326925643078974,0.7356993532981299,0.1233653717846051,0.15903466805482105,0.05590169943749474,0.11180339887498948,0.05143013078683315,0.18593164075054006,0.1233653717846051,0.15903466805482105,644,Martin Smyth,1982-03-04,1931-06-15,Male,Independent Unionist,68,Other,Blair1,Opposition
2000-01-25a.151.4,220553Rev. Martin Smyth,"On a point of order, Madam Speaker. I appreciate that reference has already been made to this matter, but about two weeks ago I asked a question about the fact that the Committee considering the Disqualifications Bill was to be held immediately after Second Reading. It has repeatedly been said, both yesterday and today, that there were no objections at the time. In future, will the House, which is proud of its record in protecting minorities, bear in mind, through its business managers, that there are more parties than the two main parties?",93,2000-01-25,2000,0.5706793209150092,0.8485181215106719,0.1437941702979928,0.5731068737961581,0.4615822501409692,0.5417069078562593,0.1740950068963037,0.20030820914027836,0.1437941702979928,0.5731068737961581,644,Martin Smyth,1982-03-04,1931-06-15,Male,Independent Unionist,68,Other,Blair1,Opposition
2000-01-25a.193.0,107301Mr. Andrew Hunter,Is not the essential point that the so-called paramilitaries hold weapons illegally? There are no circumstances in which they can hold those weapons legally. The ceasing of all holding of those weapons is decommissioning. I beg my right hon. Friend not to allow a grey area into the debate at this stage. We cannot accept anything other than paramilitaries no longer having illegal weapons in their physical possessionâeven if policed for the time being by General de Chastelain's officers.,79,2000-01-25,2000,0.11226255234242724,0.17655831757856338,-0.01603750747748961,0.15416041028346233,-0.05849809177250339,0.28668774687291265,-0.005713659746637054,0.12261951093542023,-0.01603750747748961,0.15416041028346233,48,Andrew Hunter,1983-06-09,1943-01-08,Male,DUP,57,Other,Blair1,Opposition
2000-01-25a.211.2,220553Rev. Martin Smyth,"Reference has been made to other countries. The Americans do not allow people in, even on a visitor's visa, if they have a murder conviction. Can we possibly imagine that we should allow peopleâeven those from Commonwealth countriesâto stand for Parliament if they had such a record? The intervention of the hon. Member for Winchester (Mr. Oaten) was not relevant.",60,2000-01-25,2000,-0.09878121296618743,0.3523726384380565,-0.09428090415820635,0.21081851067789198,-0.12235143900573901,0.2818809121521411,-0.05310381544209795,0.10615423077061066,-0.09428090415820635,0.21081851067789198,644,Martin Smyth,1982-03-04,1931-06-15,Male,Independent Unionist,68,Other,Blair1,Opposition
2000-01-25a.214.0,220553Rev. Martin Smyth,"I appreciate the opportunity to speak. I shall follow the right hon. Gentleman.
I understand the aims of those who supported the agreement, and I am not arguing about the agreement, but I believe that a dangerous situation has developed. Last week, the Secretary of State for Northern Ireland made it clear that those of us who had misgivings about the agreement had no right to make any comments in the House on recent developments. That was a shameful exhibition, and I hope that that theme does not re-emerge tonight. Time and again, we hear Labour Members who, rightly, are still fighting the battle of the coal mines, and it seems to me that any of us are right to keep arguing the case that we believe to be right. The average Ulsterman will not buy a pig in a poke, and wants to know what the bargain is. Some of us recognised the difficulties from the beginning.
There are those who keep arguing about decommissioning. I cannot understand how anyone in this House can be against proper decommissioning when this House legislated to decommission legally held sporting firearms throughout the nation. If we were concerned


about that, we ought to be concerned about the decommissioning of illegal weapons in the hands of terrorists.
My sense of humour has not left me completely, and I was amused to be told by certain sources that it was being considered that the weapons would be put in concrete bunkers and sealed. Some of us thought that if those people could tunnel out of the Maze, they could tunnel into those bunkers. I understand that someone with connections to Sinn Fein-IRA has said that there will be no announcement on decommissioning because there would need to be a convention of the IRA called to announce that, and no convention has been called.
The Bill contains a statement by the Home Secretary that the Bill conforms to European legislation. We believe that the Bill must conform to the Belfast agreement. I know that our Sinn Fein opponents, in political terms, do not believe that decommissioning was in the agreement. However, even a blind man on a galloping horse could see that it was in the agreement that decommissioning must take place.
The Government would be standing by and consolidating the agreement if they came forth now and said that they were prepared to accept the amendment and that there will be no further move on this issue unless the Belfast agreement has been ratified completely. That would save a lot of hassle, and would prevent a Division. However, I can assure the House that if the amendment is divided on, those of us voting for it will be putting on record the fact that if the Government are not prepared to stand by the agreement in all its parts, we are.",476,2000-01-25,2000,0.14882591208521284,0.46348544245005685,0.004632895406139399,0.2794456151694156,0.08249515131613626,0.3564118184816367,0.015544470632805608,0.156649207768732,-0.02023827048191027,0.2865351507118864,644,Martin Smyth,1982-03-04,1931-06-15,Male,Independent Unionist,68,Other,Blair1,Opposition
2000-01-25a.220.4,3409172Mr. Jeffrey Donaldson,"My name is associated with new clause 1. Last night I voted with colleagues against the Bill in principle because I believe that it is unnecessary legislation. There is no demand for the Bill among the wider population in Northern Ireland. I share the view of my hon. Friend the Member for West Tyrone (Mr. Thompson) that the Bill has only one purposeâto provide a further concession to Sinn Fein-IRA. It is to facilitate that party. Incidentally, that party has returned to the House of Commons two Members, who refuse to take their seats in the Chamber. Yet we are taking up the valuable time of this place to facilitate those two same Members to take seats in a


foreign Parliament. It makes a mockery of our constitution that we should do such a thing and that the Government propose it.
With other hon. Members, I look to the Government to explain why we need the proposed legislation that is before us. At present, the provision within it is available only to members of legislatures within the Commonwealth. I accept that that is a general point, but it relates to the amendment. The Irish Republic has not rejoined the Commonwealth, so why do we need to provide legislation specifically to facilitate the Irish Republic? I am not aware that the Irish Government have been calling for the Bill, so it must be Sinn Fein-IRA that is involved.
There has been reference to the Good Friday agreement. Perhaps I am unique in this debate because I was involved in the negotiations in that agreement until the end. That being so, I have some knowledge of the agreement. I know that the provisions that are contained in the Bill were never discussed during the negotiations. We are told by my right hon. Friend the Member for Upper Bann (Mr. Trimble), the leader of my party, that they were not part of the recent review that was carried our under the chairmanship of Senator Mitchell. Therefore, we must conclude that the Bill is coming forward because the Government have done a back-door deal with Sinn Fein-IRA. That is why it is important to provide linkage between the proposed legislationâ",364,2000-01-25,2000,0.1072818908354559,0.3704035169895386,0.042368117866985314,0.21497373844921794,0.22588460871290272,0.30723476023509855,0.030985572677618905,0.11416575755033262,0.042368117866985314,0.21497373844921794,650,Jeffrey M Donaldson,1997-05-01,1962-12-07,Male,DUP,37,Other,Blair1,Opposition
2000-01-25a.224.0,92190Mr. Nigel Evans,"If the Bill was supposed to be a carrot to encourage decommissioning, and decommissioning does not occur but the Bill is enacted, the measure will remain an Act.",28,2000-01-25,2000,0.0,NA,0.0,NA,0.0,NA,-0.0708683386892301,NA,0.0,NA,474,Nigel Evans,1992-04-09,1957-11-10,Male,Conservative,42,Conservative,Blair1,Opposition
2000-01-25a.233.0,92190Mr. Evans,Does my hon. Friend agree that the deal that everyone is talking about is the Good Friday agreement; that no other deal should be necessary to achieve decommissioning; that decommissioning should start without the Bill; and that that is why we need to pass the amendments?,46,2000-01-25,2000,-0.228747855498907,0.3234983196103153,0.228747855498907,0.3234983196103153,-0.228747855498907,0.3234983196103153,0.04845006661608794,0.0685187413063515,0.228747855498907,0.3234983196103153,474,Nigel Evans,1992-04-09,1957-11-10,Male,Conservative,42,Conservative,Blair1,Opposition
